s_city_id,s_city,s_lat,s_lon,s_pop,s_country,s_Volume,s_Vol2,e_city_id,e_City,e_lat,e_lon,e_pop,e_country,e_vol,e_Vol2
1,Sarh,9.149969909,18.39002966,135862,Chad,33,505,238,Hechi,23.09653465,109.6091129,3275189.5,China,291099,10
2,Tandil,-37.32001015,-59.15004358,84799.5,Argentina,31,723,238,Hechi,23.09653465,109.6091129,3275189.5,China,291099,10
3,Victorville,34.5365082,-117.2903191,83496,United States of America,17,770,238,Hechi,23.09653465,109.6091129,3275189.5,China,291099,10
4,Cranbourne,-38.09960081,145.2833695,249955,Australia,14,944,238,Hechi,23.09653465,109.6091129,3275189.5,China,291099,10
5,Curico,-34.97999795,-71.24002914,108074.5,Chile,21,876,238,Hechi,23.09653465,109.6091129,3275189.5,China,291099,10
6,Dahuk,36.86670013,43.00000263,620500,Iraq,13,875,238,Hechi,23.09653465,109.6091129,3275189.5,China,291099,10
7,Olympia,47.03804486,-122.899434,100950,United States of America,32,1004,238,Hechi,23.09653465,109.6091129,3275189.5,China,291099,10
8,Oostanay,53.22089744,63.62830196,223450.5,Kazakhstan,11,557,238,Hechi,23.09653465,109.6091129,3275189.5,China,291099,10
9,Oran,35.71000246,-0.61997278,721992,Algeria,22,539,238,Hechi,23.09653465,109.6091129,3275189.5,China,291099,10
10,Asheville,35.60119773,-82.55414474,105775,United States of America,3,832,623,San Jose,9.93501243,-84.08405135,642862,Costa Rica,302064,20
11,Asti,44.92998232,8.209979206,63410.5,Italy,4,681,623,San Jose,9.93501243,-84.08405135,642862,Costa Rica,302064,20
12,Athens,33.96129783,-83.3780221,78017.5,United States of America,34,921,623,San Jose,9.93501243,-84.08405135,642862,Costa Rica,302064,20
13,Atlanta,33.83001385,-84.39994938,2464454,United States of America,4,707,623,San Jose,9.93501243,-84.08405135,642862,Costa Rica,302064,20
14,Atyrau,47.11269147,51.92002437,170583,Kazakhstan,26,906,623,San Jose,9.93501243,-84.08405135,642862,Costa Rica,302064,20
15,Aurora,41.76539512,-88.29999557,273949.5,United States of America,21,901,623,San Jose,9.93501243,-84.08405135,642862,Costa Rica,302064,20
16,Babruysk,53.12656211,29.19278113,212821.5,Belarus,7,581,623,San Jose,9.93501243,-84.08405135,642862,Costa Rica,302064,20
17,Ballarat,-37.55958209,143.8400468,73404,Australia,29,900,222,Haifa,32.8204114,34.98002478,639150,Israel,400017,30
18,Barnaul,53.35499778,83.74500688,569711,Russia,2,896,222,Haifa,32.8204114,34.98002478,639150,Israel,400017,30
19,Lanzhou,36.05602785,103.7920003,2282609,China,6,530,222,Haifa,32.8204114,34.98002478,639150,Israel,400017,30
20,L'Aquila,42.35039817,13.39002478,62201.5,Italy,14,945,222,Haifa,32.8204114,34.98002478,639150,Israel,400017,30
21,Larache,35.20042116,-6.160022218,114688,Morocco,7,674,222,Haifa,32.8204114,34.98002478,639150,Israel,400017,30
22,Le Mans,48.00041506,0.099983275,143392.5,France,31,758,222,Haifa,32.8204114,34.98002478,639150,Israel,400017,30
23,Elkhart,41.68294537,-85.96879419,100295,United States of America,23,696,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
24,Encarnacion,-27.34718482,-55.87391878,251813.5,Paraguay,23,790,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
25,Erechim,-27.63000731,-52.26999841,85365.5,Brazil,1,731,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
26,Everett,47.9604175,-122.1999677,291948,United States of America,20,883,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
27,Exeter,50.70040529,-3.529950197,108242,United Kingdom,5,783,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
28,Faisalabad,31.40998069,73.10999711,2561797.5,Pakistan,8,850,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
29,Fargo,46.8772278,-96.7894257,127472.5,United States of America,7,592,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
30,Fayetteville,36.06297833,-94.15720911,108267.5,United States of America,13,836,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
31,Florianopolis,-27.57998452,-48.52002059,568783,Brazil,29,870,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
32,Fort Pierce,27.44678591,-80.3258053,132984,United States of America,1,533,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
33,Fort Wayne,41.08039817,-85.12998234,264793,United States of America,11,696,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
34,Fresno,36.7477169,-119.7729841,540768,United States of America,15,518,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
35,Ft. Myers,26.64029767,-81.86049199,120810.5,United States of America,29,761,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
36,Fukui,36.07041974,136.2200468,241288.5,Japan,18,971,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
37,Furth,49.47001528,10.99998979,174934.5,Germany,23,998,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
38,Gävle,60.66698041,17.1666418,68235.5,Sweden,8,524,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
39,Galway,53.272393,-9.048812298,73140,Ireland,24,1004,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
40,Ganca,40.68499595,46.35002844,301699.5,Azerbaijan,16,735,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
41,Ganzhou,25.91997988,114.9500272,1216134.5,China,1,730,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
42,Garissa,-0.439625632,39.67002274,65948,Kenya,28,807,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
43,Chengdu,30.67000002,104.0700195,4036718.5,China,31,534,262,Johannesburg,-26.17004474,28.03000972,2730734.5,South Africa,666365,17
44,Chester,53.20002016,-2.919987428,83285.5,United Kingdom,14,971,262,Johannesburg,-26.17004474,28.03000972,2730734.5,South Africa,666365,17
45,Chihuahua,28.64498151,-106.0849823,750633.5,Mexico,32,703,262,Johannesburg,-26.17004474,28.03000972,2730734.5,South Africa,666365,17
46,Chita,52.05502545,113.4650016,293153.5,Russia,34,830,262,Johannesburg,-26.17004474,28.03000972,2730734.5,South Africa,666365,17
47,Chlef,36.17041363,1.319960489,449167,Algeria,14,809,262,Johannesburg,-26.17004474,28.03000972,2730734.5,South Africa,666365,17
48,Daytona Beach,29.21055422,-81.0230754,140775.5,United States of America,26,810,262,Johannesburg,-26.17004474,28.03000972,2730734.5,South Africa,666365,17
49,Denton,33.21576194,-97.12883651,138952.5,United States of America,17,773,262,Johannesburg,-26.17004474,28.03000972,2730734.5,South Africa,666365,17
50,Detroit,42.32996014,-83.08005579,2526135,United States of America,1,740,262,Johannesburg,-26.17004474,28.03000972,2730734.5,South Africa,666365,17
51,Divinopolis,-20.14953367,-44.89998316,181457,Brazil,18,812,262,Johannesburg,-26.17004474,28.03000972,2730734.5,South Africa,666365,17
52,Dondo,-19.61959186,34.7300142,75217.5,Mozambique,21,597,262,Johannesburg,-26.17004474,28.03000972,2730734.5,South Africa,666365,17
53,Dongguan,23.0488889,113.7447222,4528000,China,12,815,262,Johannesburg,-26.17004474,28.03000972,2730734.5,South Africa,666365,17
54,Dresden,51.04997052,13.75000281,552184.5,Germany,26,795,262,Johannesburg,-26.17004474,28.03000972,2730734.5,South Africa,666365,17
55,Drohobych,49.34436403,23.49938188,101837.5,Ukraine,21,535,262,Johannesburg,-26.17004474,28.03000972,2730734.5,South Africa,666365,17
56,Dublin,53.33306114,-6.248905682,1013988,Ireland,27,854,262,Johannesburg,-26.17004474,28.03000972,2730734.5,South Africa,666365,17
57,Beirut,33.87197512,35.50970821,1779062.5,Lebanon,3,946,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
58,Linhares,-19.38999347,-40.05002079,86413,Brazil,23,845,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
59,Linköping,58.41001223,15.62993974,94111.5,Sweden,21,619,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
60,Linyi,35.07998924,118.329976,1176334.5,China,32,879,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
61,Liverpool,53.41600181,-2.917997886,639972.5,United Kingdom,31,960,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
62,Lobito,-12.37000853,13.54123002,170733,Angola,12,841,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
63,Logrono,42.47036501,-2.429991497,123918.5,Spain,24,767,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
64,Londonderry,55.00037539,-7.333283937,82635,United Kingdom,33,817,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
65,Lorient,47.75040448,-3.366575156,71532,France,9,683,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
66,Los Angeles,-37.46000161,-72.35998661,135334.5,Chile,7,943,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
