s_city_id,s_city,s_lat,s_lon,s_pop,s_country,s_Volume,s_Vol2,e_city_id,e_City,e_lat,e_lon,e_pop,e_country,e_vol,e_Vol2
1,Sarh,9.149969909,18.39002966,135862,Chad,33,505,238,Hechi,23.09653465,109.6091129,3275189.5,China,291099,10
10,Asheville,35.60119773,-82.55414474,105775,United States of America,3,832,623,San Jose,9.93501243,-84.08405135,642862,Costa Rica,302064,20
17,Ballarat,-37.55958209,143.8400468,73404,Australia,29,900,222,Haifa,32.8204114,34.98002478,639150,Israel,400017,30
23,Elkhart,41.68294537,-85.96879419,100295,United States of America,23,696,657,Ulaanbaatar,47.9166734,106.9166158,827306,Mongolia,645321,15
43,Chengdu,30.67000002,104.0700195,4036718.5,China,31,534,262,Johannesburg,-26.17004474,28.03000972,2730734.5,South Africa,666365,17
57,Beirut,33.87197512,35.50970821,1779062.5,Lebanon,3,946,183,Dakar,14.71583173,-17.47313013,2540200,Senegal,765122,9
96,Mar del Plata,-38.00002033,-57.57998438,554916,Argentina,20,842,579,Rome,41.89595563,12.48325842,1687226,Italy,800446,12
110,Tacoma,47.21131594,-122.5150131,460273,United States of America,29,885,103,Berlin,52.52181866,13.40154862,3250007,Germany,904561,36
150,Utsunomiya,36.54997703,139.8700048,558808.5,Japan,6,672,373,Mendoza,-32.88333006,-68.81661117,827815,Argentina,987654,36
175,Charlottesville,38.02918907,-78.47692591,61314,United States of America,17,532,237,Ipoh,4.599989236,101.0649833,656227,Malaysia,1148668,8
199,Ceske Budejovice,48.98001935,14.46003699,97452,Czech Republic,20,881,276,Lima,-12.04801268,-77.05006209,7385117,Peru,1222446,31
216,Tripoli,32.89250002,13.18001176,1209199,Libya,34,665,562,Reykjavík,64.15002362,-21.95001449,140059,Iceland,1241978,27
232,Nagaoka,37.45041302,138.8600406,187560,Japan,20,952,389,Miami,25.7876107,-80.22410608,2983947,United States of America,1354625,14
259,Sunderland,54.92001853,-1.380029746,315449.5,United Kingdom,29,877,489,Phnom Penh,11.55003013,104.9166345,1466000,Cambodia,1504012,24
327,Santo Angelo,-28.30004393,-54.28003076,65013,Brazil,24,826,35,Barcelona,41.38329958,2.183370319,3250797.5,Spain,2988556,22
361,Osnabrück,52.28043805,8.049988972,198865,Germany,1,852,1,Alexandria,31.20001935,29.94999589,3988258,Egypt,3502678,11
362,Groningen,53.22040651,6.580001179,198941,Netherlands,12,730,128,Chicago,41.82999066,-87.75005497,5915976,United States of America,3954100,11
504,Annecy,45.89997479,6.116670287,77490.5,France,3,874,642,Tokyo,35.68501691,139.7514074,22006299.5,Japan,4512331,26
542,Blagoveshchensk,50.26660748,127.5333418,206711,Russia,14,728,451,Oslo,59.91669029,10.74997921,707500,Norway,5121333,14
588,Uberlandia,-18.89999754,-48.27998356,484862,Brazil,20,916,516,Quito,-0.214988181,-78.50005111,1550407,Ecuador,5211978,6
615,Juazeiro,-9.420007712,-40.49996749,95132,Brazil,9,731,405,Moscow,55.75216412,37.61552283,10452000,Russia,6465542,33
645,Criciuma,-28.68002073,-49.38996749,183085.5,Brazil,3,777,593,San Bernardino,34.12038373,-117.3000342,973690.5,United States of America,6546546,7
657,Columbus,32.47043276,-84.98001734,202225,United States of America,22,931,630,Seoul,37.5663491,126.999731,9796000,South Korea,7778584,9
676,Ulm,48.40039064,9.999999144,146703,Germany,29,530,432,New York,40.74997906,-73.98001693,13524139,United States of America,10445464,34
